userName,score,at,content,clean,text_preprocessed,toSantance,polarity_score,polarity
Elimam 10,5,2023-02-09 21:54:35,Sangat2 Membantu Dan Terima Kasih Banyak aplikasi Begitu Berguna Buat Transaksi Transfer Yang Sangat Mudah,sangat membantu dan terima kasih banyak aplikasi begitu berguna buat transaksi transfer yang sangat mudah,"['bantu', 'terima', 'kasih', 'aplikasi', 'guna', 'transaksi', 'transfer', 'mudah']",membantu terima kasih aplikasi berguna transaksi transfer mudah,6,positive
Wewen Ayu,5,2023-02-09 21:51:34,Mantapzzz,mantapzzz,['mantapzzz'],mantapzzz,0,neutral
siti nur hasra fitra,1,2023-02-09 21:35:07,Aplikasi penipuan saya sudah melakukan transaksi beli pulsa tpi Nyatanya pulsanya gk ada tpi saldo saya sudah berkurang Bri kon,aplikasi penipuan saya sudah melakukan transaksi beli pulsa tpi nyatanya pulsanya gk ada tpi saldo saya sudah berkurang bri kon,"['aplikasi', 'tipu', 'transaksi', 'beli', 'pulsa', 'pulsa', 'gk', 'saldo', 'kurang', 'bri', 'kon']",aplikasi penipuan transaksi beli pulsa pulsanya gk saldo berkurang bri kon,-8,negative
Muna Waroh,5,2023-02-09 21:28:29,"Alhamdulillah semua transaksi bisa dilakukan dirumah, secintabini sama brimo",alhamdulillah semua transaksi bisa dilakukan dirumah secintabini sama brimo,"['alhamdulillah', 'transaksi', 'rumah', 'secintabini', 'brimo']",alhamdulillah transaksi dirumah secintabini brimo,12,positive
Rifki Romadhoni Channel,3,2023-02-09 21:12:10,"Memudahkan, tapi kadang2 erorr sistem.",memudahkan tapi kadang erorr sistem,"['mudah', 'kadang', 'erorr', 'sistem']",memudahkan kadang erorr sistem,2,positive
Fitriany,1,2023-02-09 21:07:23,Daftarnya susah. Padahal koneksi internet oke 😭😭,daftarnya susah padahal koneksi internet oke,"['daftar', 'susah', 'koneksi', 'internet', 'oke']",daftarnya susah koneksi internet oke,-5,negative
RifaBudaya,1,2023-02-09 20:59:50,Saya kecewa banget dengan pelayanan BRImo BRI sangat susah buat masuknya kembali sudah dicoba dtg kekantor BRI nya masih tetap BRImo saya belom dpt dipakai masih ada gangguan server jaringan kami,saya kecewa banget dengan pelayanan brimo bri sangat susah buat masuknya kembali sudah dicoba dtg kekantor bri nya masih tetap brimo saya belom dpt dipakai masih ada gangguan server jaringan kami,"['kecewa', 'banget', 'layan', 'brimo', 'bri', 'susah', 'masuk', 'coba', 'kantor', 'bri', 'nya', 'brimo', 'pakai', 'ganggu', 'server', 'jaring']",kecewa banget pelayanan brimo bri susah masuknya dicoba kekantor bri nya brimo dipakai gangguan server jaringan,-5,negative
Aldino Aditya,5,2023-02-09 20:58:41,nikmat,nikmat,['nikmat'],nikmat,3,positive
Hery Pratama,1,2023-02-09 19:28:25,Aplikasi sangat sulit mau daftar online aja susa nya minta ampun nulis kantor bank terdekat aja selalu gagal. Kalau dari bank bisa langsung daftar engga perlu saya make aplikasi ini,aplikasi sangat sulit mau daftar online aja susa nya minta ampun nulis kantor bank terdekat aja selalu gagal kalau dari bank bisa langsung daftar engga perlu saya make aplikasi ini,"['aplikasi', 'sulit', 'daftar', 'online', 'susa', 'nya', 'ampun', 'nulis', 'kantor', 'bank', 'dekat', 'gagal', 'bank', 'langsung', 'daftar', 'engga', 'make', 'aplikasi']",aplikasi sulit daftar online susa nya ampun nulis kantor bank terdekat gagal bank langsung daftar engga make aplikasi,-18,negative
Arif Qais,3,2023-02-09 19:18:42,"Selalu susah masuk alasan jaringan internet, padahal jaring internet 4G,",selalu susah masuk alasan jaringan internet padahal jaring internet g,"['susah', 'masuk', 'alas', 'jaring', 'internet', 'jaring', 'internet', 'g']",susah masuk alasan jaringan internet jaring internet g,0,neutral
darmi ati,4,2023-02-09 19:02:20,aman mudah dan praktis,aman mudah dan praktis,"['aman', 'mudah', 'praktis']",aman mudah praktis,7,positive
Syah Alam22,5,2023-02-09 18:46:08,Sangat cocok digunakan bagi masyarakat 🙏,sangat cocok digunakan bagi masyarakat,"['cocok', 'masyarakat']",cocok masyarakat,1,positive
Bp Supriyadi,5,2023-02-09 17:44:03,BRI terbaik,bri terbaik,"['bri', 'baik']",bri terbaik,2,positive
Bagus Kancil102,1,2023-02-09 17:03:23,Harus 100x kah bisa berasil??????????,harus x kah bisa berasil,"['x', 'kah', 'asil']",x kah berasil,0,neutral
Muhammad Khadafi,1,2023-02-09 16:57:55,KUALITAS BRI SANGAT MENGECEWAKAN PELAYANAN JUGA KURANG BAGUS DAN SAYA NYETOR LEWAT MESIN ATM MALAH DUIT SAYA SERING TIDAK DI PROSES DAN SALDO SAYA TIDAK MASUK SETELAH SAYA SETOR DI ATM SAMPAI 1 MINGGU LEBIH SAYA TUNGGU MASIH SAJA SALDO SAYA BELUM MASUK,kualitas bri sangat mengecewakan pelayanan juga kurang bagus dan saya nyetor lewat mesin atm malah duit saya sering tidak di proses dan saldo saya tidak masuk setelah saya setor di atm sampai  minggu lebih saya tunggu masih saja saldo saya belum masuk,"['kualitas', 'bri', 'kecewa', 'layan', 'bagus', 'nyetor', 'mesin', 'atm', 'duit', 'proses', 'saldo', 'masuk', 'setor', 'atm', 'minggu', 'tunggu', 'saldo', 'masuk']",kualitas bri mengecewakan pelayanan bagus nyetor mesin atm duit proses saldo masuk setor atm minggu tunggu saldo masuk,0,neutral
Uni Jenong,5,2023-02-09 16:55:26,Cepat mudah,cepat mudah,"['cepat', 'mudah']",cepat mudah,3,positive
Heri Kurniawan,1,2023-02-09 16:51:23,"Sompret,, disaat genting mau transfer malah gangguan,, tidak bisa digunakan setiap saat,,, kampretttttttt",sompret disaat genting mau transfer malah gangguan tidak bisa digunakan setiap saat kampretttttttt,"['sompret', 'saat', 'genting', 'transfer', 'ganggu', 'kampretttttttt']",sompret disaat genting transfer gangguan kampretttttttt,-4,negative
Awal Ajaa,4,2023-02-09 16:50:17,Coba dulu a,coba dulu a,"['coba', 'a']",coba a,1,positive
Zaks 088,1,2023-02-09 16:47:08,Kendala mulu prasaan kapan terdaptar nya woy uang udah masuk tapi gk bisa masuk brimo nya parahhhhhhhhhhhhhhbhbb,kendala mulu prasaan kapan terdaptar nya woy uang udah masuk tapi gk bisa masuk brimo nya parahhhhhhhhhhhhhhbhbb,"['kendala', 'melulu', 'prasaan', 'terdaptar', 'nya', 'woy', 'uang', 'masuk', 'gk', 'masuk', 'brimo', 'nya', 'parahhhhhhhhhhhhhhbhbb']",kendala melulu prasaan terdaptar nya woy uang masuk gk masuk brimo nya parahhhhhhhhhhhhhhbhbb,-9,negative
Achmad Fajar,5,2023-02-09 16:43:50,Login susah amat di hp beda jadi ke blokir!!,login susah amat di hp beda jadi ke blokir,"['login', 'susah', 'hp', 'beda', 'blokir']",login susah hp beda blokir,-8,negative
Apri Ansyah,5,2023-02-09 16:40:55,Transaksi gampang,transaksi gampang,"['transaksi', 'gampang']",transaksi gampang,5,positive
Aris Setiawan,1,2023-02-09 16:29:00,Masak kena blokir terus,masak kena blokir terus,"['masak', 'kena', 'blokir']",masak kena blokir,-6,negative
M Jordan Odan,5,2023-02-09 16:20:49,Terima kasih banyak dengan aplikasi ini sangat bagus skali...,terima kasih banyak dengan aplikasi ini sangat bagus skali,"['terima', 'kasih', 'aplikasi', 'bagus', 'skali']",terima kasih aplikasi bagus skali,-3,negative
pecinta ikan,1,2023-02-09 16:04:35,Beberapa kali mendaftar tetap saja tidak bisa...apakah harus ke teler bank langsung untuk mendaftar,beberapa kali mendaftar tetap saja tidak bisaapakah harus ke teler bank langsung untuk mendaftar,"['kali', 'daftar', 'bisaapakah', 'teler', 'bank', 'langsung', 'daftar']",kali mendaftar bisaapakah teler bank langsung mendaftar,-1,negative
Andrian Wibowo,3,2023-02-09 16:04:04,Apa brimo gangguan,apa brimo gangguan,"['brimo', 'ganggu']",brimo gangguan,-4,negative
Putra Aprianto,5,2023-02-09 16:00:47,Mantap lebih mudah buat akses tfy,mantap lebih mudah buat akses tfy,"['mantap', 'mudah', 'akses', 'tfy']",mantap mudah akses tfy,10,positive
Bayumi Oppa,5,2023-02-09 15:57:45,Sejauh ini sangat memuaskan,sejauh ini sangat memuaskan,['muas'],memuaskan,5,positive
Priatna,2,2023-02-09 15:52:34,Kenapa kalo mau transaksi kluar mulu,kenapa kalo mau transaksi kluar mulu,"['transaksi', 'kluar', 'melulu']",transaksi kluar melulu,1,positive
Iman Kuswara,5,2023-02-09 15:48:34,Tampilan mutasi dibuat seperti pada IB via web dong dan dilengkapi fitur download mutasi.,tampilan mutasi dibuat seperti pada ib via web dong dan dilengkapi fitur download mutasi,"['tampil', 'mutasi', 'ib', 'via', 'web', 'lengkap', 'fitur', 'download', 'mutasi']",tampilan mutasi ib via web dilengkapi fitur download mutasi,-3,negative
berliburkan org,5,2023-02-09 15:44:33,Mantap abis,mantap abis,"['mantap', 'habis']",mantap habis,5,positive
Uje Kedungkubang,2,2023-02-09 15:35:10,Swa fotonya jangan dipersulit dong. Susah amat pake ngikutin kata2 tang gak pernah jelas. Parah syaratnya gagal terus membuat emosi saja. Bikin apk gak berarti,swa fotonya jangan dipersulit dong susah amat pake ngikutin kata tang gak pernah jelas parah syaratnya gagal terus membuat emosi saja bikin apk gak berarti,"['swa', 'foto', 'sulit', 'susah', 'pakai', 'ngikutin', 'tang', 'parah', 'syarat', 'gagal', 'emosi', 'bikin', 'apk']",swa fotonya dipersulit susah pakai ngikutin tang parah syaratnya gagal emosi bikin apk,-12,negative
agus karyono (klik pelangi [dot] com),1,2023-02-09 15:35:01,beli pulsa prabayar saldo berkurang pulsa tidak terisi :( sudah coba konsul WA tidak ada jawaban.. mohon solusinya..,beli pulsa prabayar saldo berkurang pulsa tidak terisi  sudah coba konsul wa tidak ada jawaban mohon solusinya,"['beli', 'pulsa', 'prabayar', 'saldo', 'kurang', 'pulsa', 'isi', 'coba', 'konsul', 'wa', 'mohon', 'solusi']",beli pulsa prabayar saldo berkurang pulsa terisi coba konsul wa mohon solusinya,-7,negative
Santi Yani,1,2023-02-09 15:29:55,"Saya ngajuin pinjaman modal lewat BRImo, dari tanggal 27 Desember smpe sekarang belum ACC, tanggal 17 Januari baru nyamp peninjauan sama RM, smpe skrng belum cair2 tuh pinjaman, apakah niat sekelas BRI buat pinjemin uang atau sekedang pemanis aja tuh mode pinjamannya, KECEWA....",saya ngajuin pinjaman modal lewat brimo dari tanggal  desember smpe sekarang belum acc tanggal  januari baru nyamp peninjauan sama rm smpe skrng belum cair tuh pinjaman apakah niat sekelas bri buat pinjemin uang atau sekedang pemanis aja tuh mode pinjamannya kecewa,"['ngajuin', 'pinjam', 'modal', 'brimo', 'tanggal', 'desember', 'smpe', 'accord', 'tanggal', 'januari', 'nyamp', 'tinjau', 'rm', 'smpe', 'skrng', 'cair', 'tuh', 'pinjam', 'niat', 'kelas', 'bri', 'pinjemin', 'uang', 'kedang', 'man', 'tuh', 'mode', 'pinjam', 'kecewa']",ngajuin pinjaman modal brimo tanggal desember smpe accord tanggal januari nyamp peninjauan rm smpe skrng cair tuh pinjaman niat sekelas bri pinjemin uang sekedang pemanis tuh mode pinjamannya kecewa,-14,negative
Faisal Husen,5,2023-02-09 15:26:27,Bagus nyaman,bagus nyaman,"['bagus', 'nyaman']",bagus nyaman,2,positive
sigit Reza,5,2023-02-09 15:22:04,Not bad👍,not bad,"['not', 'bad']",not bad,-4,negative
Budy Alfa,5,2023-02-09 15:13:49,Brimo setelah update terbaru kinerjanya oke,brimo setelah update terbaru kinerjanya oke,"['brimo', 'update', 'baru', 'kerja', 'oke']",brimo update terbaru kinerjanya oke,4,positive
Si Ros,5,2023-02-09 15:08:35,Pke bya mudah dan gampang banget.puasssd,pke bya mudah dan gampang bangetpuasssd,"['pke', 'bya', 'mudah', 'gampang', 'bangetpuasssd']",pke bya mudah gampang bangetpuasssd,4,positive
Tuki men,4,2023-02-09 15:01:59,Joz,joz,['joz'],joz,0,neutral
Seno Nurhadi,5,2023-02-09 15:01:22,Mepermudah segala transaksi,mepermudah segala transaksi,"['mepermudah', 'transaksi']",mepermudah transaksi,4,positive
Firgilius Nabal,1,2023-02-09 15:00:46,Sering terjadi gangguan jaringan,sering terjadi gangguan jaringan,"['ganggu', 'jaring']",gangguan jaringan,-1,negative
Eko Saputra,5,2023-02-09 14:53:22,"Mau tanya knpa saat saya mau melakukan transaksi transfer,tertera keterangan limit harian melebihi batas,sedangkn saya pd hari ini tdk ada melakukan transaksi... Tolong bntu perbaiki... Trims..",mau tanya knpa saat saya mau melakukan transaksi transfertertera keterangan limit harian melebihi batassedangkn saya pd hari ini tdk ada melakukan transaksi tolong bntu perbaiki trims,"['transaksi', 'transfertertera', 'terang', 'limit', 'hari', 'lebih', 'batassedangkn', 'transaksi', 'tolong', 'bntu', 'baik', 'terima', 'kasih']",transaksi transfertertera keterangan limit harian melebihi batassedangkn transaksi tolong bntu perbaiki terima kasih,14,positive
Muhammad Alfarizi,4,2023-02-09 14:51:28,Semuanya sih aman. Tapi knp gk bisa di pkk buat transfer ya,semuanya sih aman tapi knp gk bisa di pkk buat transfer ya,"['sih', 'aman', 'gk', 'pkk', 'transfer', 'iya']",sih aman gk pkk transfer iya,0,neutral
Hendri Indrajaya,1,2023-02-09 14:48:54,Tidak bagus.,tidak bagus,['bagus'],bagus,-2,negative
Siti Maryani,1,2023-02-09 14:43:08,"Tidak mampu berkata banyak, cukup MENGECEWAKAN 😌",tidak mampu berkata banyak cukup mengecewakan,['kecewa'],mengecewakan,0,neutral
C.O.B BONDCUELL,1,2023-02-09 14:42:41,Apk T41,apk t,"['apk', 't']",apk t,0,neutral
WH Tunggal,5,2023-02-09 14:41:37,Berguna dan tidak repot lagi klo mau transfer tidak harus ke ATM,berguna dan tidak repot lagi klo mau transfer tidak harus ke atm,"['guna', 'repot', 'transfer', 'atm']",berguna repot transfer atm,-4,negative
Soblenk Dwipangga,1,2023-02-09 14:35:25,Poyongan BRISURF 50000.. tolong diperjelas potongan apa itu maksudnya?,poyongan brisurf  tolong diperjelas potongan apa itu maksudnya,"['poyongan', 'brisurf', 'tolong', 'jelas', 'potong', 'maksud']",poyongan brisurf tolong diperjelas potongan maksudnya,-1,negative
Achmad Imam,5,2023-02-09 14:35:00,Sangat membantu untuk segala transaksi,sangat membantu untuk segala transaksi,"['bantu', 'transaksi']",membantu transaksi,3,positive
Aboy Fuchy,5,2023-02-09 14:33:13,sangat mudah sekali pelayann ny bagus,sangat mudah sekali pelayann ny bagus,"['mudah', 'pelayann', 'ny', 'bagus']",mudah pelayann ny bagus,1,positive
SM TV REMOTE CHANNEL,4,2023-02-09 14:31:35,"Buset. Banyak korban gara gara gak aman dari serangan aplikasi kurir palsu, untuk pengguna brimo Tetap hati hati. BRI adalah BUMN yang paling lemah saat ini dari serangan mereka.",buset banyak korban gara gara gak aman dari serangan aplikasi kurir palsu untuk pengguna brimo tetap hati hati bri adalah bumn yang paling lemah saat ini dari serangan mereka,"['buset', 'korban', 'gara', 'gara', 'aman', 'serang', 'aplikasi', 'kurir', 'palsu', 'guna', 'brimo', 'hati', 'hati', 'bri', 'bumn', 'lemah', 'serang']",buset korban gara gara aman serangan aplikasi kurir palsu pengguna brimo hati hati bri bumn lemah serangan,-22,negative
Komang Suarjana,1,2023-02-09 14:28:31,"Intinya aplikasi yg mempersulit , daftar aja susah apalagi udah masuk",intinya aplikasi yg mempersulit  daftar aja susah apalagi udah masuk,"['inti', 'aplikasi', 'sulit', 'daftar', 'susah', 'masuk']",intinya aplikasi mempersulit daftar susah masuk,-12,negative
Heri Purnomo,2,2023-02-09 14:21:33,sedikit kecewa udah download sampe ber kali kali tapi ga bisa di buka selalu muat ulang aplikasi. gimana ini bos,sedikit kecewa udah download sampe ber kali kali tapi ga bisa di buka selalu muat ulang aplikasi gimana ini bos,"['kecewa', 'download', 'ber', 'kali', 'kali', 'ga', 'buka', 'muat', 'ulang', 'aplikasi', 'bos']",kecewa download ber kali kali ga buka muat ulang aplikasi bos,-1,negative
didi sopiadi,1,2023-02-09 14:19:48,Aplikasi payah,aplikasi payah,"['aplikasi', 'payah']",aplikasi payah,-4,negative
Susi Laoh,2,2023-02-09 14:19:36,Mengecewakan aplikasinya d hp saya tidak ada menu setor tunainya padahal sudah update aplikasinya,mengecewakan aplikasinya d hp saya tidak ada menu setor tunainya padahal sudah update aplikasinya,"['kecewa', 'aplikasi', 'hp', 'menu', 'setor', 'tunai', 'update', 'aplikasi']",mengecewakan aplikasinya hp menu setor tunainya update aplikasinya,-5,negative
TALULAH KANSA BELLE,1,2023-02-09 14:18:17,"Gak jelassssss Ribet poll, sampak emosi terus dari tadi gak mau login2",gak jelassssss ribet poll sampak emosi terus dari tadi gak mau login,"['jelassssss', 'ribet', 'poll', 'sampak', 'emosi', 'login']",jelassssss ribet poll sampak emosi login,-5,negative
surya kencana 28,5,2023-02-09 14:17:17,Sangat membantu dlm transaksi,sangat membantu dlm transaksi,"['bantu', 'transaksi']",membantu transaksi,3,positive
Syahid Husen,1,2023-02-09 14:17:11,Gimana si apk nya kaya gini gua gagal tarik tunai tapi saldo gua berkurang sedangkan uang nya kagak ada keluar,gimana si apk nya kaya gini gua gagal tarik tunai tapi saldo gua berkurang sedangkan uang nya kagak ada keluar,"['si', 'apk', 'nya', 'kaya', 'gin', 'gagal', 'tarik', 'tunai', 'saldo', 'kurang', 'uang', 'nya']",si apk nya kaya gini gagal tarik tunai saldo berkurang uang nya,0,neutral
Muhammad Rayyan,1,2023-02-09 14:15:12,"Mempersulit nasabah, udah puluhan kali rekam video padahal udah jelas tetap saja tidak bisa. Semoga secepatnya di perbaiki.",mempersulit nasabah udah puluhan kali rekam video padahal udah jelas tetap saja tidak bisa semoga secepatnya di perbaiki,"['sulit', 'nasabah', 'puluh', 'kali', 'rekam', 'video', 'moga', 'cepat', 'baik']",mempersulit nasabah puluhan kali rekam video semoga secepatnya perbaiki,6,positive
sudar sono,5,2023-02-09 14:06:32,Bgs,bgs,['bagus'],bagus,-2,negative
Khafifah_ afah,1,2023-02-09 14:05:09,kak ini aku sudah urus ke bnk msu pake brimo kenpa ini nga bisaaa,kak ini aku sudah urus ke bnk msu pake brimo kenpa ini nga bisaaa,"['kak', 'urus', 'bnk', 'msu', 'pakai', 'brimo', 'kenpa', 'nga', 'bisaaa']",kak urus bnk msu pakai brimo kenpa nga bisaaa,0,neutral
kosimyuni pradibtajuna,5,2023-02-09 14:04:20,"Mantab jadi enak segalanya ,thanks Brimo",mantab jadi enak segalanya thanks brimo,"['mantab', 'enak', 'terima', 'kasih', 'brimo']",mantab enak terima kasih brimo,4,positive
delox kadek,1,2023-02-09 14:03:37,"Saya ingin penjelasan,, kenapa email yang terdaptar di bank,, bisa dipake orang lain untuk juga??",saya ingin penjelasan kenapa email yang terdaptar di bank bisa dipake orang lain untuk juga,"['jelas', 'email', 'terdaptar', 'bank', 'dipake', 'orang']",penjelasan email terdaptar bank dipake orang,-2,negative
Odi Ones,1,2023-02-09 13:51:39,"Dipersulit, lain diminta lain di kasi. begitulah kira²",dipersulit lain diminta lain di kasi begitulah kira,"['sulit', 'kasi']",dipersulit kasi,-3,negative
Chibex Res,2,2023-02-09 13:49:43,"Aplikasi ini gimana saya daftar brimo,,gagal trus d veripikasi rekaman swaphoto",aplikasi ini gimana saya daftar brimogagal trus d veripikasi rekaman swaphoto,"['aplikasi', 'daftar', 'brimogagal', 'veripikasi', 'rekam', 'swaphoto']",aplikasi daftar brimogagal veripikasi rekaman swaphoto,-7,negative
Ziva Anindia,5,2023-02-09 13:48:45,Sngat bermanfaat & memudahkn transaksi.,sngat bermanfaat  memudahkn transaksi,"['sngat', 'manfaat', 'memudahkn', 'transaksi']",sngat bermanfaat memudahkn transaksi,9,positive
Azizah Nurul,1,2023-02-09 13:47:06,Teruslah coba menginstall sampai lelah menderamu,teruslah coba menginstall sampai lelah menderamu,"['terus', 'coba', 'menginstall', 'lelah', 'dera']",teruslah coba menginstall lelah menderamu,2,positive
Riyan AL gibran,5,2023-02-09 13:42:03,Aplikasi brimo Its the best pokonya yang bilang apk ini jelek dasar kalean aja gak bisa menggunakanya,aplikasi brimo its the best pokonya yang bilang apk ini jelek dasar kalean aja gak bisa menggunakanya,"['aplikasi', 'brimo', 'its', 'the', 'best', 'poko', 'bilang', 'apk', 'jelek', 'dasar', 'kalean', 'menggunakanya']",aplikasi brimo its the best pokonya bilang apk jelek dasar kalean menggunakanya,-11,negative
Hany Muhanizah,5,2023-02-09 13:39:10,Oke bngt,oke bngt,"['oke', 'bngt']",oke bngt,2,positive
Lahat Lahat,3,2023-02-09 13:39:09,"Tidak bisa menginstal padahal memory banyak, Internet pun cepat...",tidak bisa menginstal padahal memory banyak internet pun cepat,"['menginstal', 'memory', 'internet', 'cepat']",menginstal memory internet cepat,0,neutral
Lienda Liea,5,2023-02-09 13:35:36,Transaksi cepat,transaksi cepat,"['transaksi', 'cepat']",transaksi cepat,4,positive
agus sutrisno,5,2023-02-09 13:35:11,Simpel dan mudah,simpel dan mudah,"['simpel', 'mudah']",simpel mudah,6,positive
jenk gaming,4,2023-02-09 13:34:56,Kalau bisa di menu mutasi di tambahin detailnya jadi ketahuan secara detailnya,kalau bisa di menu mutasi di tambahin detailnya jadi ketahuan secara detailnya,"['menu', 'mutasi', 'tambahin', 'detail', 'tahu', 'detail']",menu mutasi tambahin detailnya ketahuan detailnya,4,positive
Untung Rahmat,5,2023-02-09 13:23:33,Cepat penanganannya,cepat penanganannya,"['cepat', 'tangan']",cepat penanganannya,1,positive
Dwi Hartoyo,1,2023-02-09 13:21:58,"Aplikasi bikin repot daftar berulang kali gagal terus, bikin emosi aja. Klo bikin aplikasi yg g ribet. Oiy, lupa Indonesia gtu loh.. klo bisa dibikin ribet knp di permudah.",aplikasi bikin repot daftar berulang kali gagal terus bikin emosi aja klo bikin aplikasi yg g ribet oiy lupa indonesia gtu loh klo bisa dibikin ribet knp di permudah,"['aplikasi', 'bikin', 'repot', 'daftar', 'ulang', 'kali', 'gagal', 'bikin', 'emosi', 'bikin', 'aplikasi', 'g', 'ribet', 'oiy', 'lupa', 'indonesia', 'gtu', 'loh', 'bikin', 'ribet', 'mudah']",aplikasi bikin repot daftar berulang kali gagal bikin emosi bikin aplikasi g ribet oiy lupa indonesia gtu loh dibikin ribet permudah,-27,negative
Tri Dastin,1,2023-02-09 13:13:48,Kalau ada fitur pengambilan tunai Rp 50.000 saya kasih bintang 5,kalau ada fitur pengambilan tunai rp  saya kasih bintang,"['fitur', 'ambil', 'tunai', 'rp', 'kasih', 'bintang']",fitur pengambilan tunai rp kasih bintang,-1,negative
Dede Rustandi,5,2023-02-09 13:12:30,"BRIMO Bagus, tetap tingkatan pelayanan 💪💪💪💪💪",brimo bagus tetap tingkatan pelayanan,"['brimo', 'bagus', 'tingkat', 'layan']",brimo bagus tingkatan pelayanan,-1,negative
Retno Ganteng,1,2023-02-09 13:10:04,Mau daftar aja susah nya minta ampun data udah bener semua masih aja susah,mau daftar aja susah nya minta ampun data udah bener semua masih aja susah,"['daftar', 'susah', 'nya', 'ampun', 'data', 'susah']",daftar susah nya ampun data susah,-13,negative
Subi Yanto,5,2023-02-09 13:07:00,Be like,be like,"['be', 'like']",be like,0,neutral
Herman Wahyudi,3,2023-02-09 13:05:48,Sayangnya tidak ada Pilihan untuk pembayaran pajak bermotor,sayangnya tidak ada pilihan untuk pembayaran pajak bermotor,"['sayang', 'pilih', 'bayar', 'pajak', 'motor']",sayangnya pilihan pembayaran pajak bermotor,-7,negative
Mahasiswa Inspiratif,5,2023-02-09 13:02:49,Ok saya suka dengan pelayanan nya,ok saya suka dengan pelayanan nya,"['ok', 'suka', 'layan', 'nya']",ok suka pelayanan nya,6,positive
Aa Kusmayadi,5,2023-02-09 13:02:17,Adain pinjaman yah utk pekerjaan sebagai ojek online,adain pinjaman yah utk pekerjaan sebagai ojek online,"['adain', 'pinjam', 'yah', 'kerja', 'ojek', 'online']",adain pinjaman yah pekerjaan ojek online,2,positive
Nanda janu bagas saputra,5,2023-02-09 12:56:47,"Sangat membatu sekali, good",sangat membatu sekali good,"['batu', 'good']",membatu good,5,positive
Reski Nurfajar,1,2023-02-09 12:51:01,gagal mulu rekaman video nya.,gagal mulu rekaman video nya,"['gagal', 'melulu', 'rekam', 'video', 'nya']",gagal melulu rekaman video nya,-8,negative
Bang Ker,5,2023-02-09 12:46:39,Mudah dan sangat gampang buat mengirim dan beli pulsa,mudah dan sangat gampang buat mengirim dan beli pulsa,"['mudah', 'gampang', 'kirim', 'beli', 'pulsa']",mudah gampang mengirim beli pulsa,2,positive
Akbar Rosyadi,1,2023-02-09 12:39:57,"Mempersulit nasabah,,lebih baik pindah ke bca aja brooo",mempersulit nasabahlebih baik pindah ke bca aja brooo,"['sulit', 'nasabahlebih', 'pindah', 'bca', 'brooo']",mempersulit nasabahlebih pindah bca brooo,-2,negative
Syaiful Anam,5,2023-02-09 12:39:38,Bagus aplikasinya,bagus aplikasinya,"['bagus', 'aplikasi']",bagus aplikasinya,-6,negative
Ping C,5,2023-02-09 12:38:46,"Sudah mantap, tingkatkan lagi menjadi banyak fitur untuk mempermudah nasabah",sudah mantap tingkatkan lagi menjadi banyak fitur untuk mempermudah nasabah,"['mantap', 'tingkat', 'fitur', 'mudah', 'nasabah']",mantap tingkatkan fitur mempermudah nasabah,13,positive
Santi Wati,5,2023-02-09 12:36:04,Sangat mudah dan puas,sangat mudah dan puas,"['mudah', 'puas']",mudah puas,6,positive
Ockys Senu,5,2023-02-09 12:35:24,Baguslah,baguslah,['bagus'],baguslah,-2,negative
Muthe Muwardi,1,2023-02-09 12:31:13,Duh bikin emosi banget... Sinyal full wifi joss. Baru juga mau daftar udah gak bisa.. Baru mau foto ktp aja tombol kamera gak bisa di pencet... Gimana sih... Tolong dong di perbaiki sisten nya...,duh bikin emosi banget sinyal full wifi joss baru juga mau daftar udah gak bisa baru mau foto ktp aja tombol kamera gak bisa di pencet gimana sih tolong dong di perbaiki sisten nya,"['aduh', 'bikin', 'emosi', 'banget', 'sinyal', 'full', 'wifi', 'joss', 'daftar', 'foto', 'ktp', 'tombol', 'kamera', 'pencet', 'sih', 'tolong', 'baik', 'sisten', 'nya']",aduh bikin emosi banget sinyal full wifi joss daftar foto ktp tombol kamera pencet sih tolong perbaiki sisten nya,0,neutral
Suhendar Suhendar,5,2023-02-09 12:29:25,Makasih Brimo,makasih brimo,"['terima', 'kasih', 'brimo']",terima kasih brimo,3,positive
Leksi Pradiska,5,2023-02-09 12:26:49,Dengan aplikasi ini semua terasa mudah ..,dengan aplikasi ini semua terasa mudah,"['aplikasi', 'mudah']",aplikasi mudah,-1,negative
Alifia Erna Rahmawati,1,2023-02-09 12:26:17,Aplikasi gk bisa digunakan sama sekali... Buat foto ktp aja ndak bisa,aplikasi gk bisa digunakan sama sekali buat foto ktp aja ndak bisa,"['aplikasi', 'gk', 'foto', 'ktp']",aplikasi gk foto ktp,-1,negative
Afni banggai Afni banggai,5,2023-02-09 12:26:15,Sangat membantu dan mempermuda,sangat membantu dan mempermuda,"['bantu', 'muda']",membantu mempermuda,-3,negative
Ara Bryan,5,2023-02-09 12:25:40,Keren habis,keren habis,"['keren', 'habis']",keren habis,0,neutral
